Title,Link,Categories,Organizer,Location,Date,URL,Description,Start Date,End Date,Location Name,Location Country,Performer Name,Performer URL
研討會  - 未來海上人居工程發展技術研討會,https://calendar.hkust.edu.hk/events/yantaohui-weilaihaishangrenjugongchengfazhanjishuyantaohui,"Conference, Symposium, Forum, Seminar, Lecture, Talk, Workshop",Organized by Department of Civil & Environmental Engineering; 香港科技大學（廣州）,"Institute for Advanced Study (IAS), HKUST",16  May  2023,https://calendar.hkust.edu.hk/events/yantaohui-weilaihaishangrenjugongchengfazhanjishuyantaohui,"眾所周知，土地供給不足已嚴重製約了香港的可持續健康發展。如何解決目前及未來面臨的嚴峻挑戰，建設和發展一個綠色、智慧、和諧、繁榮的香港，是政府、民眾、學界以及工業界共同關心的重要問題。粵港澳大灣區國家發展戰略為香港的繁榮穩定提供了有力的保障。近四十年來，中國內地基礎設施建設取得了舉世矚目的成就，為香港的建設發展提供強有力的技術與經驗支持。在經歷了COVID19後，內地與香港民眾都迫切希望盡快恢復經濟建設、謀求未來的美好生活。為此，香港科技大學與香港科技大學（廣州）組織來自內地與香港的院士、知名專家學者、工業界領袖、政府部門及專業界人士共同探討海洋空間利用和未來海上人居工程的可持續建設與發展策略，旨在促進科技服務社會發展，提振社會信心，多方攜手共同為香港未來的建設出謀劃策。

會議主題1、明日大嶼項目定位與建設目標：
——海上人居工程之示範，海洋空間科學利用之引領
——環境平衡與自適應，生存樂園
——海洋經濟：新產業鏈的形成與可持續發展2、海洋人居基礎科學：
地球（海洋）環境長期演化與設計標準，環境自適應能力與平衡
海上能源與營養物質，海洋環境生存與健康醫學
大科學裝置與海洋科學試驗
海洋交叉科學，海洋新材料科學3、海洋人居關鍵工程技術：
基礎設施建設：規劃、設計、施工及運維管理
環境：海洋動力環境、生態環境、生存環境、人造環境
生存保障體系：能源與營養、物流體系（運輸）、衛生與健康、防災減
災、數字化與智慧城市
核心裝備：面向空間利用與資源獲取的核心裝備4、海洋人居工程未來發展政策與模式

特邀圓桌嘉賓：
陳 勇 教授 中國工程院院士 廣東省科學技術協會主席
滕錦光 教授 中國科學院院士 香港理工大學校長
鄭定寧 先生 香港建造業議會執行總監
卜國明 先生 香港工程師學會會長
王天義 教授 香港科技大學（廣州）實踐教授 光大環境前董事會主席、總裁
梁 桁 先生 中國交建粵港澳大灣區區域總部副總經理

顧問：
倪明選校長（香港科技大學（廣州））
汪揚副校長（香港科技大學）
李行偉校長（澳門科技大學）",2023-05-16,2023-05-16,"['Institute for Advanced Study (IAS)', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"QST Seminar  - Conformal symmetry, Optimization algorithms and the Critical Phenomena",https://calendar.hkust.edu.hk/events/qst-seminar-conformal-symmetry-optimization-algorithms-and-critical-phenomena,"Seminar, Lecture, Talk","Organized by Center of Quantum Science and Technology, HKUST(GZ)",,16  May  2023,https://calendar.hkust.edu.hk/events/qst-seminar-conformal-symmetry-optimization-algorithms-and-critical-phenomena,"In the phase diagram of many substances, the critical points have emergent conformal symmetry and are described by conformal field theories. Traditionally, physical quantities near the critical point can be computed by perturbative field theory method, where conformal symmetry is not fully utilized. In this talk, I will explain how conformal symmetry can be used to determine certain physical quantities, without even knowing the fine details of the microscopic structure. To compute the observables precisely, one needs to develop powerful numerical techniques. In the last few years, we have invented many computational tools and algorithms, and predicted critical exponents of Helium-4 superfluid phase transition and Heisenberg magnet to very high precision.",2023-05-16,2023-05-16,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Publishing in Wiley Materials Science Journals,https://calendar.hkust.edu.hk/events/publishing-wiley-materials-science-journals,"Conference, Symposium, Forum, Seminar, Lecture, Talk",Organized by HKUST Energy Institute,"Room 1410 (Near LT-F, Lifts 25-26)",16  May  2023,https://calendar.hkust.edu.hk/events/publishing-wiley-materials-science-journals,"A highly competitive research environment with increasingly limited research funding has created a “Publish or Perish” attitude among scientists who are judged on the quantity rather than quality of their research articles. This presentation provides a brief overview of current trends and challenges in scientific publishing, some ethical considerations, how publishers and authors interact and influence each other, and how the publishing arena is being transformed. Tips will be presented on how to select an appropriate journal for your paper, what aspects of preparation and presentation to focus on from an editor’s and referee’s perspective, and hints for increasing the discoverability of your paper after publication.",2023-05-16,2023-05-16,"['Room 1410 (Near LT-F', 'Lifts 25-26)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"Public Research Seminar by Sustainable Energy and Environment Thrust, Function Hub, HKUST(GZ)  - Electrolyte Development and Interphase Optimization for Lithium Batteries",https://calendar.hkust.edu.hk/events/public-research-seminar-sustainable-energy-and-environment-thrust-function-hub-hkustgz-2,"Seminar, Lecture, Talk","Organized by Function Hub, HKUST(GZ)",ZOOM (ID: 961 9568 5847; Password: 230516),16  May  2023,https://calendar.hkust.edu.hk/events/public-research-seminar-sustainable-energy-and-environment-thrust-function-hub-hkustgz-2,"Rechargeable lithium battery has been regarded as the state-of-the-art energy storage system and drawn extensive attention recently. Current lithium-ion battery has been widely used in various fields. At the same time, intensive battery research activities are continuing in the aspects of further improving the low/high temperature electrochemical performance, energy density, as well as safety characteristics. This seminar research focuses on the optimization and understanding of battery materials, including electrolyte, electrolyte/electrode interphase as well as electrode materials in the advanced lithium battery systems. Specifically, this talk covers the electrolyte development for improving the cell performance at low temperature and high voltage, the fundamental understanding of the mechanism governing the interphase formation and functionality and their relationship with electrolyte engineering, as well as the change of electrode materials regarding to different electrolytes. Based on these studies, electrolyte engineering shows great efficiency for improving electrochemical performance. The in-depth understanding of the chemistry of interphases and their origin and the evolution of their essential components constitute the key to the development of new electrolytes for high-energy density batteries based on lithium metal anode. The results provide valuable information about the new approaches for electrolyte engineering and the fundamental understanding of the interphase formation and functionality for the Li-ion and Li-metal battery research community.",2023-05-16,2023-05-16,ZOOM (ID: 961 9568 5847; Password: 230516),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - The Skyscraper Revolution: Global Economic Development and Land Savings,https://calendar.hkust.edu.hk/events/economics-webinar-skyscraper-revolution-global-economic-development-and-land-savings,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,16  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-skyscraper-revolution-global-economic-development-and-land-savings,"We show that tall buildings represent a transformative technology that has been central in facilitating sustainable urbanization and growth. Using supply side variation for identification, we demonstrate that the average elasticity of city population to aggregate city building heights is 0.12, and that of city built area to heights is -0.17. Land saved from development by post-1975 tall building construction is over 80% covered in vegetation. To isolate the effects of technology-induced reductions in the cost of height from correlated demand shocks, we use interactions of static demand differences and the geography of bedrock as instruments for observed changes in height, a triple difference identification strategy. Central to the analysis is newly organized data on the population, land area, and a measure of total height for 1975-2015 in 12,877 cities worldwide. Quantification using a canonical urban model suggests that global welfare has increased by 1.1% as a result of declines in the cost of height. Benefits could triple if constraints to vertical development were relaxed.",2023-05-16,2023-05-16,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
LinkedIn Learning at HKUST,https://calendar.hkust.edu.hk/events/linkedin-learning-hkust-1,"Other Format, Workshop",Organized by Creative Media Zone | MTPC; HKUST Library; Media Technology and Publishing Center,Online,1  February  2023 to 16  June  2023,https://calendar.hkust.edu.hk/events/linkedin-learning-hkust-1,"MTPC & Library are jointly offering LinkedIn Learning to all staff and students. LinkedIn Learning is an online learning platform that provides unlimited access to over 16,000 courses covering creative, business and technology topics. Specific learning paths are also curated to integrate LinkedIn Learning with practical training offered by the Creative Media Zone of MTPC.Access is offered on a first come, first served basis. If you are interested, simply sign up through the websites of MTPC/CMZ, Library or HKUST Engage. More details are available here.Faculty and training officers of unit who are interested in integrating LinkedIn Learning with their teaching are also welcome to contact cmztraining@ust.hk for a group registration.**Successful applicants will receive an invitation email (with LinkedIn Learning activation link) within 1 working day.  ",2023-02-01,2023-06-16,Online,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
HKUST Arts Festival 2023  - 紛華靡麗：粵劇戲寶及服飾展 Resplendent Beauty: On Cantonese Opera Repertoire and Costumes Exhibition,https://calendar.hkust.edu.hk/events/hkust-arts-festival-2023-fenhuamiliyuejuxibaojifushizhan-resplendent-beauty-cantonese-opera,"Exhibition, Fair",Organized by Center for the Arts; Lee Shau Kee Library,"Lee Shau Kee Library and Foyer Exhibition Space, Shaw Auditorium",3  April  2023 to 31  July  2023,https://calendar.hkust.edu.hk/events/hkust-arts-festival-2023-fenhuamiliyuejuxibaojifushizhan-resplendent-beauty-cantonese-opera,"The exhibition features authentic costumes and stage sets of four well-known Cantonese operas to reflect the wide spectrum of plots, scenes and roles of the art form. Visitors will discover the beauty of these artefacts and interact with multimedia presentations in the Library and the Foyer of Shaw Auditorium.

 

Exhibition Opening Ceremony:


			Date: April 13, 2023

			Time: 3:30 PM - 4:10 PM

			Venue: Ping Yuan and Kinmay W Tang Gallery, Lee Shau Kee Library

			More Detail: Click Here
			
		 

 

Guided Tour:


			Session 1

			Date: April 13, 2023 (Thu)

			Time: 4:30 PM - 5:00 PM

			Venue: Ping Yuan and Kinmay W Tang Gallery, Lee Shau Kee Library

			Language: Cantonese

			Registration: Click Here

			Session 2

			Date: April 25, 2023 (Tue)

			Time: 1:30 PM - 2:00 PM

			Venue: Ping Yuan and Kinmay W Tang Gallery, Lee Shau Kee Library

			Language: English

			Registration: Click Here
			
		 

 

REMARKS 備註

Free admission. 
         免費入場。

The organizer reserves the right in its sole discretion to make changes to the event program without prior notice. 
         主辦方保留自行決定更改活動的權利，恕不作另行通知。 ",2023-04-03,2023-07-31,"['Lee Shau Kee Library and Foyer Exhibition Space', 'Shaw Auditorium']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
HKUST Arts Festival 2023  - 紛華靡麗：粵劇戲寳及服飾展 / Resplendent Beauty: On Cantonese Opera Repertoire and Costumes Exhibition,https://calendar.hkust.edu.hk/events/hkust-arts-festival-2023-fenhuamiliyuejuxibaojifushizhan-resplendent-beauty-cantonese-0,"Exhibition, Fair",Organized by HKUST Library; Shaw Auditorium Unit; Center for the Arts; Media Technology & Publishing Center,,3  April  2023 to 31  July  2023,https://calendar.hkust.edu.hk/events/hkust-arts-festival-2023-fenhuamiliyuejuxibaojifushizhan-resplendent-beauty-cantonese-0,"粵劇為嶺南地區獨有的表演藝術，糅合「唱做唸打」與各式各樣的劇情，結合畫部（舞台設計）、衣箱（服飾）、棚面（配樂）等藝術形式走入民間。根據記載，自19世紀中葉已有粵劇戲班在香港演出，戰後香港相對開放的社會風氣和豐饒的物質條件讓粵劇得以蓬勃發展。2009年，粵劇更被列入「聯合國教科文組織」設立的「人類非物質文化遺產代表作名錄」，其歷史意義和文化價值備受肯定。然而，隨著各種娛樂事業的發展，粵劇漸漸式微。爲配合2023年科大藝術節的主題「藝術·文化·多元」，科大藝術中心和圖書館合作主辦是次展覽，讓觀衆重新認識粵劇這門博大精深的本地文化。

展覽選取四部經典名劇為主題，分別為葉紹德的編劇作品《梁山伯與祝英台》及《穆桂英大破洪州》、唐滌生改編的《帝女花》以及李少芸編寫的《連城璧》，每齣戲寶皆以不同時代背景的故事主題為核心，呈現粵劇劇種的多元性。劇作家針對相關題材及敘事結構，編上曲牌（傳統曲調調名）和口白（對白唸詞），創作及改編出齣齣好戲。除了文學修養和寫作技巧，劇作家也必須把演員出入場的方式、換裝的時間、舞台佈景的轉換等細節納入考量，因此必須對粵劇台前幕後的運作有所掌握。

除了精湛的劇本，角色的描繪、佈景的安排以及服飾的搭配也十分講究。人物方面，以四部劇中折子戲裡的主角作展示，其構成包括皇室宗親、達官貴人、武打將領乃至平民百姓等人物。這樣的安排旨在將粵劇的經典人物及其服飾穿搭，分別以蟒、靠、褶及帔四種主要的粵劇服飾類別，及佈景道具的搭配作展示。展覽分別在科大圖書館和逸夫演藝中心以實體和多媒體形式展出，內容豐富，不容錯過。

粵劇的發展隨時代演變不斷，其豐富的表演元素和獨特的表現形式值得大家持續發掘。是次展覽希望打開觀眾對粵劇文化藝術的認識，並在未來有更多接觸粵劇的機會。

 

Cantonese opera is a unique genre of performing art in the Lingnan area in southern China. It applies singing, acting, recitation and martial arts to a large variety of drama plots, and combines stage design, costume design and music accompaniment to become a folk art in the traditional society. The earliest known records of performances by Cantonese opera troupes in Hong Kong can be traced back to the mid-19th century, and the relatively liberal social atmosphere and affluent material life favored a rapid development in post-war Hong Kong. In 2009, in recognition of its historical significance and cultural value, Cantonese opera was inscribed onto UNESCO’s Representative List of World Intangible Cultural Heritage of Humanity. Despite its high cultural status, Cantonese opera is struggling to maintain a sustainable development, a challenge posed by the rapid expansion of entertainment businesses in past decades. HKUST Center for the Arts and the Library co-organize the exhibition as a major event of HKUST Arts Festival 2023. It echoes the theme of AF2023, Arts in Multicultural Hong Kong, to present and hopefully to revive this precious cultural heritage of Hong Kong.

The exhibition focuses on four well-known Cantonese operas, namely, The Butterfly Lovers and Muk Gwai-ying Routing Hongzhou by Yip Shiu-tak, The Floral Princess by Tong Dik-sang and The Priceless Jade by Lee Siu-wan, selected based on the diversity of historical backgrounds and themes, to reflect the wide spectrum of the art form. In the creative process of the librettos, the librettists had to arrange traditional tunes, lyrics and dialogues according to the contents and narrative structure of the drama. In addition to having a profound knowledge of Chinese literature and outstanding writing skills, they had to be familiar with performing routines and stage operation, setting out in the plays details such as how actors appear on the stage, timing for costume change and change of scenes, to name just a few.

The four operas are not only renowned for the excellent screenwriting and portrayal of characters, their stage sets and costume designs are also artworks in their own right. The main characters on display in their respective stage sets here are selected to feature royalties, dignitaries, battle commandants, and last but not least, ordinary people, to illustrate the four major types of Cantonese opera outfits, namely, python ceremonial robes, armor, gowns with a sloping collar (casual clothing for ordinary people) and gowns with a vertical collar (casual clothing for dignitaries), together with their matching headgears. Visitors will discover the beauty of these artefacts and interact with multimedia presentations in the Library and the foyer of Shaw Auditorium.

In its development over a long period of time, Cantonese opera has evolved into a multitudinous performing art form with unique formats of expression. Through presenting the fundamentals of Cantonese opera, this exhibition hopes to inspire the public to explore further opportunities to appreciate this precious art.",2023-04-03,2023-07-31,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"Distribution points for lanyards, badges and stickers to promote neurodiversity",https://calendar.hkust.edu.hk/events/distribution-points-lanyards-badges-and-stickers-promote-neurodiversity,Other Format,Organized by Diversity and Equal Opportunities Committee,,4  April  2023 to 31  May  2023,https://calendar.hkust.edu.hk/events/distribution-points-lanyards-badges-and-stickers-promote-neurodiversity,"HKUST supports the #neurodiversity community in the University and recently became a distribution point for lanyards, badges and stickers provided by the Talos Foundation, to promote awareness of neurodiversity and special needs.  Head to the following spots for FREE lanyards, buttons and stickers*:

School of Science
	School of Engineering
	Language Commons
	G/F Library
	Counseling and Wellness Center
	Visitor Information Center",2023-04-04,2023-05-31,,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Survey of HKUST Students' Views on Green and Sustainable Finance - Complete our survey for a chance to win a $50 Starbucks e-gift card!,https://calendar.hkust.edu.hk/events/survey-hkust-students-views-green-and-sustainable-finance-complete-our-survey-chance-win-50,,Organized by Fintech Research Project,Online,27  April  2023 to 21  May  2023,https://calendar.hkust.edu.hk/events/survey-hkust-students-views-green-and-sustainable-finance-complete-our-survey-chance-win-50,"Complete survey on green and sustainable finance in Hong Kong to win a $50 Starbucks e-gift card!(For HKUST Students only)You are cordially invited to participate in a brief survey on green and sustainable finance. Your responses will be very important for us to understand the university students’ views on sustainable and green finance in Hong Kong.  This will help us to improve our educational programs and promote sustainable finance initiatives in the future. Your participation and feedback are greatly appreciated. Please take a few minutes to complete the survey by May 21, 2023 (Sunday) day-end. As a token of appreciation, the first 20 participants who complete the survey will receive a $50 HKD Starbucks e-gift card. Thank you for your time and contribution to this important research.  Click here now to enter the survey! Duration - Now until May 21, 2023 (Sunday) Reward - a $50 Starbucks e-gift card for the first 20 participants. Winners will be contacted separately via email. ",2023-04-27,2023-05-21,Online,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
